DAY,HOUR,OPEN,HIGH,LOW,CLOSE
4/22/2015,21:00,1.0724,1.07267,1.07184,1.0721
4/22/2015,22:00,1.0721,1.07228,1.07168,1.07187
4/22/2015,23:00,1.07189,1.07272,1.07188,1.07236
4/23/2015,0:00,1.07235,1.07257,1.07003,1.07052
4/23/2015,1:00,1.07053,1.0712,1.06917,1.06986
4/23/2015,2:00,1.06988,1.0703,1.06908,1.06977
4/23/2015,3:00,1.06978,1.07095,1.06942,1.07078
4/23/2015,4:00,1.07078,1.07175,1.07006,1.0702
4/23/2015,5:00,1.07024,1.07171,1.07024,1.0707
4/23/2015,6:00,1.07069,1.07128,1.06794,1.06859
4/23/2015,7:00,1.06851,1.06889,1.06648,1.06854
4/23/2015,8:00,1.06852,1.07354,1.06817,1.07269
4/23/2015,9:00,1.07267,1.0754,1.07163,1.07501
4/23/2015,10:00,1.07498,1.07553,1.07343,1.07387
4/23/2015,11:00,1.07384,1.07718,1.0731,1.07685
4/23/2015,12:00,1.07688,1.07818,1.07416,1.07616
4/23/2015,13:00,1.07614,1.07771,1.07327,1.07503
4/23/2015,14:00,1.07504,1.08155,1.07449,1.08015
4/23/2015,15:00,1.08013,1.08203,1.07877,1.08008
4/23/2015,16:00,1.08005,1.08293,1.08001,1.08226
4/23/2015,17:00,1.08226,1.08442,1.08222,1.08284
4/23/2015,18:00,1.08287,1.08445,1.08225,1.08258
4/23/2015,19:00,1.0826,1.08295,1.08215,1.08247
